Number;Description;Development_Type;Dev_Cat;Affect_RPA;Dev_Sprint;Effort;Assignment_group
RITM1293775;"OTC_257 - fazer vinculo B1 -  service Layer (falar com Marcos)
Anexo detalhamento";Service Catalog;Development;No;23;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1293784;"OTC_263 - fazer vinculo B1 -  service Layer (falar com Marcos)
Anexo detalhamento";Service Catalog;Project;No;;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1293790;"OTC_287 - fazer vinculo B1 -  service Layer (falar com Marcos)
Anexo detalhamento";Service Catalog;Development;No;23;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1293798;"OTC_397 - fazer vinculo B1 -  service Layer (falar com Marcos)
Anexo detalhamento";Service Catalog;Development;No;23;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1294073;"Ajustar formulário da oferta de serviço para consumir dados do SAP B1 via Service Layer para visão WEG Perú

OTC_508

Numero de la Factura validar se o número informado existe no SAP B1.

Habilitar os campos:
Número da Orden de Venta, multi-line, obrigatório e permitir informar uma lista de ordens para fazer a pesquisa no banco de ordens do SAP B1. Posicionar o campo abaixo do campo “Número de la Factura”.

Código del cliente, obrigatório, consulta na tabela de clientes do SAP B1

Inserir função Selecionar todo

Aplicar lógica para buscar as ordens de venda com itens pendentes a faturar no SAP B1 e preencher os campos da pesquisa de ordens de venda resumida. Permitir selecionar e alterar a quantidade a faturar.

Órdenes de venta
Item 
Material 
Descripción del material 
Cantidad disponible 
Cant. De la factura (permitir ao solicitante alterar a quantidade de la factura, limitada somente até a quantidade disponível)

Vide widgets e multirow com base na OTC_507, visão Colômbia 3009 e buscar dados no SAP B1. 

Inserir botão Finalizar e popular automaticamente o multirow de ordens de venda com itens pendentes de faturamento/entrega com os campos abaixo e não permitir a edição depois de carregados:

Órdenes de venta
Item 
Material 
Descripción del material 
Cantidad disponible 
Cant. De la factura (permitir ao solicitante alterar a quantidade de la factura, limitada somente até a quantidade disponível)
Total

Habilitar campo Valor total, fora do multirow, carregar o somatório do campo total de todas as ordens de venda inseridas.

Manter campo Información adicional

Manter campo Ingrese el correo electrónico a continuación para recibir una copia de la notificación cuando se complete la solicitud.

Manter campo Agregar archivos adjuntos";Service Catalog;Development;No;19;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1294175;"Ajustar formulário da oferta de serviço para consumir dados do SAP B1 via Service Layer para visão WEG Perú e Chile

OTC_509

Habilitar campos:

Campo ""Número de guia de despacho o Factura"", validar se o número é válido no SAP B1, no banco de faturas no SAP B1. Acusar mensagem de erro caso não encontrar: Factura no encontrada, por favor compruebe el número introducido.

Código del cliente, incluir campo como obrigatório e consultar na tabela de clientes do SAP B1.

Conforme o número da fatura informada buscar todos os itens da fatura e preencher o multirow de materiales a facturar com os campos:
# ID (Sequência do item faturado)
Código del material (referência na fatura)
Cantidad (referência na fatura)
Cantidad a facturar (repetir a mesma quantidade da fatura e permitir edição, limitando à quantidade da fatura)
Precio Unitario (referência na fatura)
Total (referência no total da fatura. se o solicitante alterar a quantidade a facturar, fazer o cálculo da multiplicação do valor unitário pela quantidade a faturar)

Inserir função Selecionar todo

Permitir selecionar e alterar a quantidade a faturar.

Inserir botão Finalizar e popular automaticamente o multirow de materiales a facturar e não permitir a edição depois de carregados:

# ID (Sequência do item faturado)
Código del material (referência na fatura)
Cantidad a facturar (repetir a mesma quantidade da fatura e permitir edição, limitando à quantidade da fatura)
Precio Unitario (referência na fatura)
Total (referência no total da fatura. se o solicitante alterar a quantidade a facturar, fazer o cálculo da multiplicação do valor unitário pela quantidade a faturar)

No campo Valor, fora do multirow, carregar o somatório do campo total das linhas dos itens da factura selecionadas.

Não habilitar os campos:
Irem
Comentarios comerciales para Facturación";Service Catalog;Development;No;23;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1294272;"Ajustar formulário da oferta de serviço para consumir dados do SAP B1 via Service Layer para visão WEG Perú

OTC_517

Habilitar os campos:
Número da Orden de Venta, multi-line, obrigatório e permitir informar uma lista de ordens para fazer a pesquisa no banco de ordens do SAP B1.

Código del cliente, obrigatório, consulta na tabela de clientes do SAP B1

Inserir função Selecionar todo

Aplicar lógica para buscar as ordens de venda com itens pendentes a faturar no SAP B1 e preencher os campos da pesquisa de ordens de venda resumida.
Permitir selecionar e alterar a quantidade a faturar.

Órdenes de venta
Item 
Material 
Descripción del material 
Cantidad disponible 
Cant. de la entrega/factura (permitir ao solicitante alterar a quantidade de la factura, limitada somente até a quantidade disponível)

Vide widgets e multirow com base na OTC_507, visão Colômbia 3009 e buscar dados no SAP B1.

Inserir botão Finalizar e popular automaticamente o multirow de ordens de venda com itens pendentes de faturamento/entrega com os campos abaixo e não permitir a edição depois de carregados:

Órdenes de venta
Item 
Material 
Descripción del material
Un
Cantidad disponible 
Cant. de la entrega/factura (permitir ao solicitante alterar a quantidade de la factura, limitada somente até a quantidade disponível)
Moneda
Valor de cada item
Total

Habilitar campo Valor total, fora do multirow, carregar o somatório do campo total de todas as ordens de venda inseridas.

No campo Factura correspondente, validar se os números existem no banco de dados do SAP B1

Manter campo Agregar archivos adjuntos";Service Catalog;Project;No;;8;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1294311;"Ajustar formulário da oferta de serviço para consumir dados do SAP B1 via Service Layer para visão WEG Perú e WEG Chile
OTC_515

Habilitar os campos:
Número da Orden de Venta, multi-line, obrigatório e permitir informar uma lista de ordens para fazer a pesquisa no banco de ordens do SAP B1.

Código del cliente, obrigatório, consulta na tabela de clientes do SAP B1

Inserir função Selecionar todo

Aplicar lógica para buscar as ordens de venda com itens pendentes a faturar no SAP B1 e preencher os campos da pesquisa de ordens de venda resumida.
Permitir selecionar e alterar a quantidade a faturar.

Órdenes de venta
Item 
Material 
Descripción del material 
Cantidad disponible 
Cant. de la entrega/factura (permitir ao solicitante alterar a quantidade de la factura, limitada somente até a quantidade disponível)

Vide widgets e multirow com base na OTC_507, visão Colômbia 3009 e buscar dados no SAP B1.

Inserir botão Finalizar e popular automaticamente o multirow de ordens de venda com itens pendentes de faturamento/entrega com os campos abaixo e não permitir a edição depois de carregados:

Órdenes de venta
Item 
Material 
Descripción del material 
Un
Cantidad disponible 
Cant. de la entrega/factura (permitir ao solicitante alterar a quantidade de la factura, limitada somente até a quantidade disponível)
Moneda
Valor de cada item
Total

No campo Monto a facturar, fora do multirow, carregar o somatório do campo total de todas as ordens de venda inseridas.";Service Catalog;Development;No;;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1294396;"Ajustar formulário da oferta de serviço para consumir dados do SAP B1 via Service Layer para visão WEG Perú e WEG Chile
OTC_518

Habilitar os campos:
Número da Orden de Venta, multi-line, obrigatório e permitir informar uma lista de ordens para fazer a pesquisa no banco de ordens do SAP B1.

Código del cliente, obrigatório, consulta na tabela de clientes do SAP B1

Inserir função Selecionar todo

Aplicar lógica para buscar as ordens de venda com itens pendentes a faturar no SAP B1 e preencher os campos da pesquisa de ordens de venda resumida. Permitir selecionar e alterar a quantidade a faturar.

Órdenes de venta
Item 
Material 
Descripción del material 
Cantidad disponible 
Cant. de la factura (permitir ao solicitante alterar a quantidade de la factura, limitada somente até a quantidade disponível)

Vide widgets e multirow com base na OTC_507, visão Colômbia 3009 e buscar dados no SAP B1.

Inserir botão Finalizar e popular automaticamente o multirow de ordens de venda com itens pendentes de faturamento/entrega com os campos abaixo e não permitir a edição depois de carregados:

Órdenes de venta
Item 
Material 
Descripción del material
Un 
Cantidad disponible 
Cant. de la factura (permitir ao solicitante alterar a quantidade de la factura, limitada somente até a quantidade disponível)
Moneda
Valor de cada item
Total

No campo Monto a facturar, fora do multirow, carregar o somatório do campo total de todas as ordens de venda inseridas.";Service Catalog;Development;No;;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1294513;"Ajustar formulário da oferta de serviço para consumir dados do SAP B1 via Service Layer para visão WEG Perú e WEG Chile
OTC_523

Habilitar os campos:
Número da Orden de Venta, multi-line, obrigatório e permitir informar uma lista de ordens para fazer a pesquisa no banco de ordens do SAP B1.

Código del cliente, obrigatório, consulta na tabela de clientes do SAP B1

Inserir função Selecionar todo

Aplicar lógica para buscar as ordens de venda com itens pendentes a faturar no SAP B1 e preencher os campos da pesquisa de ordens de venda resumida Permitir selecionar e alterar a quantidade a faturar.

Órdenes de venta
Item 
Material 
Descripción del material 
Cantidad disponible 
Cant. de la entrega/factura (permitir ao solicitante alterar a quantidade de la factura, limitada somente até a quantidade disponível)

Vide widgets e multirow com base na OTC_507, visão Colômbia 3009 e buscar dados no SAP B1.

Inserir botão Finalizar e popular automaticamente o multirow de ordens de venda com itens pendentes de faturamento/entrega com os campos abaixo e não permitir a edição depois de carregados:

Órdenes de venta
Item 
Material 
Descripción del material
Un 
Cantidad disponible 
Cant. de la entrega/factura (permitir ao solicitante alterar a quantidade de la factura, limitada somente até a quantidade disponível)
Total

Datos del Item

Añadir  Eliminar todo

Acciones Orden de Venta Item Material Descripción del material Un Cantidade disponível Cantidad de la entrega/factura Moneda Valor de cada Item Total

Concluir

Manter os campos existentes:
Direcion de Entrega
Nombre de Transportista
RUT de Transportista
Número de orden de compra del cliente
Información adicional";Service Catalog;Development;No;19;8;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1294608;"Ajustar formulário da oferta de serviço para consumir dados do SAP B1 via Service Layer para visão WEG Perú 
OTC_540

Habilitar os campos:
Número da Orden de Venta, multi-line, obrigatório e permitir informar uma lista de ordens para fazer a pesquisa no banco de ordens do SAP B1.

Cliente, obrigatório, consulta na tabela de clientes do SAP B1

Inserir função Selecionar todo

Aplicar lógica para buscar as ordens de venda com itens disponíveis no estoque para faturar no SAP B1 e preencher os campos da pesquisa de ordens de venda resumida. Permitir selecionar e alterar a quantidade a faturar.

Órdenes de venta
Item 
Material 
Descripción del material 
Cantidad disponible 
Cant. de la entrega/factura (permitir ao solicitante alterar a quantidade de la factura, limitada somente até a quantidade disponível)

Vide widgets e multirow com base na OTC_507, visão Colômbia 3009 e buscar dados no SAP B1.

Inserir botão Finalizar e popular automaticamente o multirow de ordens de venda com itens pendentes de faturamento/entrega com os campos abaixo e não permitir a edição depois de carregados:

Órdenes de venta
Item 
Material 
Descripción del material
Un 
Cantidad disponible 
Cant. de la entrega/factura (permitir ao solicitante alterar a quantidade de la factura, limitada somente até a quantidade disponível)
Moneda
Valor de cada item
Total

Datos del Item

Añadir  Eliminar todo

Acciones Orden de Venta Item Material Descripción del material Un Cantidade disponível Cantidad de la entrega/factura Moneda Valor de cada Item Total

Concluir

No campo Moneda fora do multirow, buscar a moeda da ordem de venda

No campo Monto a facturar, fora do multirow, carregar o somatório do campo total de todas as ordens de venda inseridas.

Manter os campos:
Dirección de factura
Información adicional
Ingrese el correo electrónico a continuación para recibir una copia de la notificación cuando se complete la solicitud.";Service Catalog;Project;No;;8;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1296474;Criar Rotina OYC_560;Service Catalog;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1296646;"Gentileza alterar workflow conforme abaixo:

Adicionar pergunta para o atendente responder na primeira tarefa:
Necessário encaminhar para Contas a receber?
Essa pergunta deve vir preenchida automaticamente com ""nao""
Se respondida com ""sim"", abrir tarefa abaixo:

Adicionar tarefa
nome da tarefa: Avaliar solicitação da atividade de liberação antecipada
fila: _GG_WBS_OTC_BR_accounting_receivable_latam
SLA: 8-5) 2:00 hour
Esforço: 20 minutos";Service Catalog;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1296670;"Adicionar a tradução para espanhol ""Responder al solicitante basándose en el interrogatorio"" no campo em anexo";Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1296812;"Ajustar formulário da OTC_550

Incluir campo Nota com o texto ""Para contado, enviar comprobante de pago"", abaixo do campo ""¿Cuál es la condición de pago?"" 

Habilitar o campo ""Nota: Para contado, enviar comprobante de pago"", quando for selecionada a opção ""Contado"" no campo ""¿Cuál es la condición de pago?"" 

Não habilitar os campos abaixo listados quando quando for selecionada a opção ""Contado"" no campo ""¿Cuál es la condición de pago?"" :
""IMPORTANTE"" e nota explicativa
""Does the sales order have the credit released?"" e nota explicativa
""¿Se efectuará el desbloqueo previa comprobación del pago o del crédito ya contabilizado en la cuenta del cliente?""
""Introduzca el código de cliente donde aparece el crédito""
""Datos de crédito contabilizados"", botão ""selecionar todo"" e multriow dos dados dos créditos Cliente, Sociedad, Orden de venta o descripción de lanzamiento, fecha de crédito, Moneda, Monto de crédito.
""DATOS DEL DEPÓSITO"" e multirow com os campos Acciones, Sociedad, Unidad, Banco, Fecha de depósito, Moneda e Valor del depósito

Não habilitar a oferta de serviço OTC_157 para location Colômbia, manter somente para acesso no Brasil.";Service Catalog;Support advanced;No;;3;_GG_WBS_OTC_BR_FUNCTIONAL_ANALYSIS
RITM1296875;Favor cadastrar as ofertas de serviço conforme arquivo anexo;Service Catalog;Support;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1296915;"Ajustar formulário da OTC_506  para todas as visões independente da location.

Incluir campo ""Nota"" com o texto ""Para contado, enviar comprobante de pago"", abaixo do campo ""¿Cuál es la condición de pago?"" 

Habilitar o campo ""Nota: Para contado, enviar comprobante de pago"", quando for selecionada a opção ""Contado"" no campo ""¿Cuál es la condición de pago?""";Service Catalog;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1296960;Alterar regra de abertura da RTR_386 para - RTR_KEY_3037 - Por Unidade de Negócio (Empresas com SAP ECC - Brasil).;Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1297010;"Ajustar formulário da OTC_513  para Location Colômbia.

Incluir campo ""Nota"" com o texto ""Para contado, enviar comprobante de pago"", abaixo do campo ""¿Cuál es la condición de pago?"" 

Habilitar o campo ""Nota: Para contado, enviar comprobante de pago"", quando for selecionada a opção ""Contado"" no campo ""¿Cuál es la condición de pago?""";Service Catalog;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1297047;"Ajustar formulário da OTC_514  para location Colômbia

Incluir campo ""Nota"" com o texto ""Para contado, enviar comprobante de pago"", abaixo do campo ""¿Cuál es la condición de pago?"" 

Habilitar o campo ""Nota: Para contado, enviar comprobante de pago"", quando for selecionada a opção ""Contado"" no campo ""¿Cuál es la condición de pago?""";Service Catalog;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1297093;"Ajustar formulário da OTC_542  para location Colômbia

Incluir campo ""Nota"" com o texto ""Para contado, enviar comprobante de pago"", abaixo do campo ""¿Cuál es la condición de pago?"" 

Habilitar o campo ""Nota: Para contado, enviar comprobante de pago"", quando for selecionada a opção ""Contado"" no campo ""¿Cuál es la condición de pago?""";Service Catalog;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1297142;"Ajustar formulário da OTC_543  para todas as visões independente da location.

Incluir campo ""Nota"" com o texto ""Para contado, enviar comprobante de pago"", abaixo do campo ""¿Cuál es la condición de pago?"" 

Habilitar o campo ""Nota: Para contado, enviar comprobante de pago"", quando for selecionada a opção ""Contado"" no campo ""¿Cuál es la condición de pago?""";Service Catalog;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1297185;"Ajustar formulário da OTC_547  para todas as visões independente da location.

Incluir campo ""Nota"" com o texto ""Para contado, enviar comprobante de pago"", abaixo do campo ""¿Cuál es la condición de pago?"" 

Habilitar o campo ""Nota: Para contado, enviar comprobante de pago"", quando for selecionada a opção ""Contado"" no campo ""¿Cuál es la condición de pago?""";Service Catalog;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1297257;"Ajustar formulário da OTC_553  para todas as visões independente da location.

Incluir campo ""Nota"" com o texto ""Para contado, enviar comprobante de pago"", abaixo do campo ""¿Cuál es la condición de pago?"" 

Habilitar o campo ""Nota: Para contado, enviar comprobante de pago"", quando for selecionada a opção ""Contado"" no campo ""¿Cuál es la condición de pago?""";Service Catalog;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1297900;Ajustar workflow da planilha anexa para task overwrite: RTR_WF_1391.;Workflows and Tasks;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1298404;Favor efetuar a carga de nova oferta de serviço e workflow da planilha em anexo;Service Catalog;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1298548;"Conforme instrução do INC0076820, o relatorio semanal da oferta de serviço OTC_386 esta indo com a informação divergente para o solicitante.
A descrição na notificação do e-mail é a informação do atendente e naodo solicitante. A descrição do relatorio semanal deve ser o mesmo da descrição de texto que o solicitante recebe quando abre essaoferta de serviço.";E-mail Notifications;Support advanced;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1299184;"Incluir fluxo de aprovação oferta OTC_036 
Alçada: Chefe";Service Catalog;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1299297;"Favor fazer overwrite para a oferta RTR_3043 para que quando o Dynamic opening routine for ""3009 | WCO"" mude o SLA para  24 horas.";Service Catalog;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1299344;Favor efetuar a carga de nova oferta de serviço e workflow da planilha em anexo;Service Catalog;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1299785;Favor adicionar o RTR_051 como pré-requisito de abertura da oferta RTR_3024.;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1300103;Favor fazer a correção das traduções dos campos do formulário RTR_FF_121 de acordo com arquivo em anexo.;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1300399;"Adicionar no multiple choice do  FF_064, no campo “Selecione a transportadora"", o código 53140 - SCHREIBER LOGISTICA LTDA - EPP.";Service Catalog;Support;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1300476;"OTC_547 - Habilitar oferta de serviço para visão México, OTC_WF_543 e OTC_FF_213

Aplicar lógica para atribuir a empresa de acordo com a location do solicitante.

Corrigir nota explicativa abaixo do campo ""Seleccionar las órdenes de venta""  

DE: Cambie la cantidad que desea solicitar para facturar, sólo si es parcial o de saldo, en el campo ""Cantidad a facturar"". Indexe las secuencias de artículos que desea agrupar para emitir Notas Fiscais separadas, creando los grupos en el campo ""Crear secuencia por Nota Fiscal"". 

PARA: ""Cambia la cantidad que deseas solicitar facturar, solo si es parcial o saldo, en el campo cantidad a facturar.""

Corrigir formatação do valor do campo ""Total"" do multirow de ordens de venda e do campo Monto a facturar, fora do multirow de ordens de venda.

Incluir campo ""Nota"" com o texto ""Para contado, enviar comprobante de pago"". Posicionar abaixo do campo ""¿Cuál es la condición de pago?"" 

Habilitar o campo ""Nota: Para contado, enviar comprobante de pago"", quando for selecionada a opção ""Contado"" no campo ""¿Cuál es la condición de pago?"" (Vide OTC 545)

Tornar o campo ""Comentarios comerciales para Facturación"" não obrigatório.";Service Catalog;Project;No;;4;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1300595;"OTC_553 - Habilitar oferta de serviço para visão México, OTC_WF_548 e OTC_FF_213

Aplicar lógica para atribuir a empresa de acordo com a location do solicitante.

Corrigir nota explicativa abaixo do campo ""Seleccionar las órdenes de venta""  

DE: Cambie la cantidad que desea solicitar para facturar, sólo si es parcial o de saldo, en el campo ""Cantidad a facturar"". Indexe las secuencias de artículos que desea agrupar para emitir Notas Fiscais separadas, creando los grupos en el campo ""Crear secuencia por Nota Fiscal"". 

PARA: ""Cambia la cantidad que deseas solicitar facturar, solo si es parcial o saldo, en el campo cantidad a facturar.""

Corrigir formatação do valor do campo ""Total"" do multirow de ordens de venda e do campo Monto a facturar, fora do multirow de ordens de venda.

Incluir campo ""Nota"" com o texto ""Para contado, enviar comprobante de pago"". Posicionar abaixo do campo ""¿Cuál es la condición de pago?"" 

Habilitar o campo ""Nota: Para contado, enviar comprobante de pago"", quando for selecionada a opção ""Contado"" no campo ""¿Cuál es la condición de pago?"" (Vide OTC 545)

Tornar o campo ""Comentarios comerciales para Facturación"" não obrigatório.";Service Catalog;Project;No;;4;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1300737;Adicionar as contas contábeis em anexo no formulário PTP_060. Já estão parametrizadas no SAP.;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1300796;"Favor fazer alteração no formulário FF075 - ""Solicitar informações diversas"" para que o campo Pais mostre todos os países apenas quando o usuário que está utilizando o formulário seja da ""Seção contabilidade Exterior"". Caso o usuário não seja manter a regra atual.";Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1301056;Favor fazer a correção das traduções dos campos do formulário RTR_FF_059 de acordo com arquivo em anexo.;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1301383;"Criar oferta PTP_228 - Executar reembolso de imposto retido indevidamente 
Carregar WF_208 relativo a esta oferta.
Criar formulário desta request - FF_115.";Service Catalog;Support advanced;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1301499;"Formulário está com o campo moeda travado para BRL ao solicitar consulta da empresa 3009 (Colômbia). 
Em QA o campo moeda está disponível para escolher, em produção não está.";Service Catalog;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1301544;Favor fazer a correção das traduções dos campos do formulário RTR_FF_089 de acordo com arquivo em anexo. Oferta de serviço RTR_3242;Service Catalog;Project;No;;1;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1303453;Favor adicionar a chave de abertura RTR_KEY_5048 para a RTR_972.;Workflows and Tasks;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1303479;"Adequação do formulário, retirar dos campos ""tipo de bloqueio"" e ""tipo de desbloqueio"" as opções de seleção: ""bloqueio por centro"" e ""desbloqueio por centro"".
A administração geral do cadastro de fornecedores não é responsável por dados a nível de centro, que continuará a cargo das áreas de compras especificamente.";Service Catalog;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1303581;"Notificação via e-mail está usando o link antigo da pesquisa avançada, necessário ajustar para a nova visão.
Email de aprovação pendente, mas é necessário avaliar os demais também (abertura - encerramento - e os diários)";E-mail Notifications;Support advanced;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1304311;"Favor alterar título da oferta de serviço da RTR_1110:
DE: Gerar e conferir Relatórios Gerenciais (balanço pat. e DRE) SIG III 
PARA: Gerar e Salvar Relatórios Gerenciais (balanço pat. e DRE) SIG III";Workflows and Tasks;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1304761;Favor adicionar o parâmetro de abertura RTR_KEY_5048 para a RTR_972.;Workflows and Tasks;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1305374;"Por favor publicar nos portais externos do WBS o seguinte manual de treinamento para o fornecedor nos portais:
csm e carriers

https://wbs.myweg.net/carriers
https://wbs.myweg.net/csm";Portal (Partners / External Users);Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1305458;Favor incluir oferta de serviço conforme arquivo em anexo.;Workflows and Tasks;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1305531;Fazer overwrite do PTP_068 WF_061 para Colômbia e México.;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1305574;Efetuar overwrite oferta PTP_024 WF_022 para México e Colômbia.;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1305601;"Alterar nome da oferta no formulario: - em espanhol
OTC_038 - Compensar una factura con pago de depósito, abono en cuenta o cuenta contable
OTC_046 - Compensar una factura con crédito de devolución
OTC_048 - Compensar pago de factura ingresada en Pérdidas (incobrable)
OTC_379 - Compensar factura con pago de depósito a través de RPA
OTC_500 - Compensar una factura pagada en efectivo
OTC_501 - Compensar una factura pagada con cheque
OTC_527 - Compensar factura en efectivo
OTC_560 - Compensar factura liquidada parcialmente";Portal (Employees / Internal Users);Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1305623;"Adicionar no multiple choice do  FF_064, no campo “Selecione a transportadora"", o código 81873 - I.B. DE ABREU ME.";Service Catalog;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1305632;Efetuar overwrite PTP_026 WF_026 para México e Colombia;Service Catalog;Project;No;;1;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1305657;Efetuar ovewrite PTP_027 WF_024 para México e Colombia.;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1305691;Efetuar overwrite da PTP_028 WF_025 para Colômbia e México.;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1305712;Efetuar overwrite PTP_029 WF_026 para Colombia e México.;Service Catalog;Project;No;;1;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1305729;Efetuar overwrite PTP_033 WF_030 para México e Colombia;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1305749;Efetuar overwrite PTP_053 WF_049 para México e Colombia.;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1305787;Efetuar overwrite PTP_059 WF_055 para México e Colombia.;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1305788;"Temos filas criadas no OTC que precisa ser excluido.

Excluir: Accouts receivable...
ver se tem B1 e Latam para excluir tbem.

Migrar dados para fila Accounting receivable";Service Catalog;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1305855;"Alterar fila de trabalho da RITM1298557. Foi uma request da Colombia e está caindo na fila do Brasil.
Fila correta _GG_WBS_PTP_CO_ACCOUNTS_PAYABLE_SUPPORT";Service Catalog;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1305940;Criar nova oferta PTP_229 WF_209 para Colombia;Service Catalog;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1305984;Saskia Rossweiler - Chefe RH PPI, não está recebendo os e-mails de aprovação.;My Approvals;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1306109;A/C DOMINIQUE - RTR_962;Service Catalog;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1306711;"Favor atualizar o Dashboard ""WBS - Task Management"" para que seja incluído o atributo ""RPA Integration"" conforme a imagem anexa. Do modo como está agora o Dashboard não traz todas as atividades de automação.";Dashboards and Reports;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1306781;"Criar grupo que dê acesso aos dados das solicitações das ofertas de serviços que não são públicas através do Portal de Serviços.
Neste momento os membros desse grupo são da auditoria interna, mas no futuro podem ter outros membros:
- Bianca Moreira Flores Machado
- Caroline Manfredo Pokrywiecki
- Daiane Cristine Baader Bertoli
- Fernanda Roberta Uber
- Isabela Karoline Koch
- Milene Reicher
- Walter Henrique Knihs

Em caso de dúvidas falar com a Caroline Manfredo Pokrywiecki";Others;Development;No;;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
